data_venda,nome_cliente,estado,nome_produto,categoria,quantidade,preco_unitario,total_venda,quantidade_estoque,localizacao_estoque,ano,mes,dia,dia da semana
2025-05-11,"Dra, Mariana da Paz",BA,Leite,Alimentos,9,"1.610,73",14496.57,116,C3-A2-B2,2025,5,11,1
2025-03-14,Marcela Rezende,BA,Feijão,Alimentos,7,"2.406,94",16848.58,131,B2-A1-C2,2025,3,14,6
2025-04-18,"Srta, Brenda Cunha",BA,Quebra-Cabeça,Brinquedos,1,"2.192,52",2192.52,224,C3-A2-B2,2025,4,18,6
2025-02-09,Maria Clara Caldeira,BA,Fone de Ouvido,Eletrônicos,2,"2.008,93",4017.86,201,B2-A1-C2,2025,2,9,1
2025-04-10,João Felipe Cardoso,BA,Carrinho,Brinquedos,8,"624,63",4997.04,170,D1-A2-B1,2025,4,10,5
2025-04-04,Alana Peixoto,BA,Fone de Ouvido,Eletrônicos,7,"2.205,46",15438.22,262,A2-B2-C1,2025,4,4,6
2024-12-27,Pedro Lucas Barbosa,BA,Estante,Móveis,6,"997,47",5984.82,63,A2-B2-C1,2024,12,27,6
2025-04-17,Lorena Pereira,BA,Camiseta,Vestuário,6,"1.921,29",11527.74,115,D1-A2-B1,2025,4,17,5
2024-12-21,Davi Silva,BA,Tablet,Eletrônicos,7,"923,47",6464.29,269,C3-A2-B2,2024,12,21,7
2025-02-22,João Miguel Melo,BA,Arroz,Alimentos,6,"1.114,56",6687.36,227,A1-B1-C1,2025,2,22,7
2025-03-07,Gabriel Azevedo,BA,Jaqueta,Vestuário,9,"2.962,51",26662.59,53,D1-A2-B1,2025,3,7,6
2025-02-28,Renan Vieira,BA,Mesa,Móveis,9,"2.722,70",24504.3,171,C3-A2-B2,2025,2,28,6
2024-12-26,Luiz Otávio Silva,BA,Quebra-Cabeça,Brinquedos,4,"2.082,20",8328.8,199,B2-A1-C2,2024,12,26,5
2025-05-06,Benício Alves,BA,Camiseta,Vestuário,10,"2.302,59",23025.9,217,A1-B1-C1,2025,5,6,3
2025-01-18,Julia Cardoso,BA,Bola,Brinquedos,5,"457,74",2288.7,226,D1-A2-B1,2025,1,18,7
2025-04-10,Vicente Teixeira,BA,Fone de Ouvido,Eletrônicos,7,"2.258,73",15811.11,261,A2-B2-C1,2025,4,10,5
2025-05-29,Miguel Gonçalves,BA,Jogo de Tabuleiro,Brinquedos,9,"2.458,54",22126.86,166,C3-A2-B2,2025,5,29,5
2025-04-03,Matheus Cavalcanti,BA,Jogo de Tabuleiro,Brinquedos,8,"1.717,45",13739.6,51,C3-A2-B2,2025,4,3,5
2025-01-28,"Dr, Yuri da Rocha",BA,Mesa,Móveis,6,"2.273,92",13643.52,105,A1-B1-C1,2025,1,28,3
2025-01-13,Daniela Rocha,BA,Notebook,Eletrônicos,2,"2.691,05",5382.1,22,A1-B1-C1,2025,1,13,2
2025-03-16,Nathan Teixeira,BA,Tablet,Eletrônicos,8,"529,78",4238.24,252,D1-A2-B1,2025,3,16,1
2025-03-31,Lucca Melo,BA,Café,Alimentos,7,"1.682,66",11778.62,293,B2-A1-C2,2025,3,31,2
2024-12-19,"Sr, Benício da Cunha",BA,Monitor,Eletrônicos,10,"1.507,34",15073.4,37,A1-B1-C1,2024,12,19,5
2025-03-30,Rafaela Vieira,BA,Cadeira,Móveis,1,"2.660,26",2660.26,295,C3-A2-B2,2025,3,30,1
